Data,Count,NumeroPostingType,NomePostingType,CompanyId
2018-01-29,943,14,LedgerJournal,IT01
2018-01-29,17,20,Bank,IT01
2018-01-29,10,31,CustBalance,IT01
2018-01-29,14,41,VendBalance,IT01
2018-01-29,40,48,VendSettlement,IT01
2018-01-29,11,51,SalesRevenue,IT01
2018-01-29,21,64,SalesPckSlipRevenue,IT01
2018-01-29,19,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-29,15,83,PurchOffsetAccountPckSlp,IT01
2018-01-29,15,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-29,3,249,BankStatement,IT01
2018-01-30,57,4,Tax,IT01
2018-01-30,370,14,LedgerJournal,IT01
2018-01-30,6,20,Bank,IT01
2018-01-30,10,31,CustBalance,IT01
2018-01-30,26,40,CustSettlement,IT01
2018-01-30,49,41,VendBalance,IT01
2018-01-30,22,83,PurchOffsetAccountPckSlp,IT01
2018-01-30,19,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-30,12,236,PurchExpense,IT01
2018-01-30,6,249,BankStatement,IT01
2018-01-31,103,4,Tax,IT01
2018-01-31,96,14,LedgerJournal,IT01
2018-01-31,14,20,Bank,IT01
2018-01-31,11,31,CustBalance,IT01
2018-01-31,49,41,VendBalance,IT01
2018-01-31,10,48,VendSettlement,IT01
2018-01-31,7,51,SalesRevenue,IT01
2018-01-31,15,64,SalesPckSlipRevenue,IT01
2018-01-31,15,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-31,23,83,PurchOffsetAccountPckSlp,IT01
2018-01-31,23,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-31,3,236,PurchExpense,IT01
2018-01-31,14,249,BankStatement,IT01
2018-02-01,21,4,Tax,IT01
2018-02-01,1109,14,LedgerJournal,IT01
2018-02-01,10,20,Bank,IT01
2018-02-01,18,40,CustSettlement,IT01
2018-02-01,62,41,VendBalance,IT01
2018-02-01,18,83,PurchOffsetAccountPckSlp,IT01
2018-02-01,796,161,FixedAssetsDebit,IT01
2018-02-01,4,162,FixedAssetsCredit,IT01
2018-02-01,18,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-02-01,14,236,PurchExpense,IT01
2018-02-01,10,249,BankStatement,IT01
2018-02-02,147,4,Tax,IT01
2018-02-02,297,14,LedgerJournal,IT01
2018-02-02,29,41,VendBalance,IT01
2018-02-02,36,48,VendSettlement,IT01
2018-02-02,951,162,FixedAssetsCredit,IT01
2018-02-04,7,14,LedgerJournal,IT01
2018-02-05,379,0,None,IT01
2018-02-05,760,14,LedgerJournal,IT01
2018-02-05,4944,19,TransferOpeningClosing,IT01
2018-02-05,36,40,CustSettlement,IT01
2018-02-05,8,41,VendBalance,IT01
2018-02-05,226,48,VendSettlement,IT01
2018-02-05,17,83,PurchOffsetAccountPckSlp,IT01
2018-02-05,17,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-02-06,5,4,Tax,IT01
2018-02-06,494,14,LedgerJournal,IT01
2018-02-06,2,31,CustBalance,IT01
2018-02-06,4,40,CustSettlement,IT01
