timestamp,item_id,target
2020-04-06,FR13,618
2020-04-06,GB02,3067
2020-04-06,IT01,375
2020-04-06,PL01,5347
2020-04-06,RO01,258
2020-04-07,FR13,700
2020-04-07,GB02,1898
2020-04-07,IT01,128
2020-04-07,PL01,3856
2020-04-07,RO01,1825
2020-04-08,FR13,191
2020-04-08,GB02,48
2020-04-08,IT01,381
2020-04-08,PL01,298
2020-04-08,RO01,13998
2020-04-09,FR13,741
2020-04-09,GB02,30
2020-04-09,IT01,156
2020-04-09,PL01,3767
2020-04-09,RO01,55
2020-04-10,FR13,311
2020-04-10,GB02,0
2020-04-10,IT01,180
2020-04-10,PL01,2
2020-04-10,RO01,34
2020-04-11,FR13,0
2020-04-11,GB02,0
2020-04-11,IT01,0
2020-04-11,PL01,0
2020-04-11,RO01,0
2020-04-12,FR13,46
2020-04-12,GB02,0
2020-04-12,IT01,0
2020-04-12,PL01,0
2020-04-12,RO01,0
2020-04-13,FR13,235
2020-04-13,GB02,0
2020-04-13,IT01,0
2020-04-13,PL01,0
2020-04-13,RO01,52
2020-04-14,FR13,628
2020-04-14,GB02,1057
2020-04-14,IT01,71
2020-04-14,PL01,241
2020-04-14,RO01,76
2020-04-15,FR13,549
2020-04-15,GB02,100
2020-04-15,IT01,193
2020-04-15,PL01,141
2020-04-15,RO01,37
2020-04-16,FR13,656
2020-04-16,GB02,24
2020-04-16,IT01,430
2020-04-16,PL01,276
2020-04-16,RO01,197
2020-04-17,FR13,265
2020-04-17,GB02,134
2020-04-17,IT01,83
2020-04-17,PL01,200
2020-04-17,RO01,3
2020-04-18,FR13,260
2020-04-18,GB02,0
2020-04-18,IT01,0
2020-04-18,PL01,0
2020-04-18,RO01,0
2020-04-19,FR13,0
2020-04-19,GB02,0
2020-04-19,IT01,61
2020-04-19,PL01,0
2020-04-19,RO01,224
2020-04-20,FR13,201
2020-04-20,GB02,62
2020-04-20,IT01,383
2020-04-20,PL01,48
2020-04-20,RO01,0
2020-04-21,FR13,475
2020-04-21,GB02,39
2020-04-21,IT01,375
2020-04-21,PL01,160
2020-04-21,RO01,43
2020-04-22,FR13,297
2020-04-22,GB02,1879
2020-04-22,IT01,129
2020-04-22,PL01,80
2020-04-22,RO01,147
2020-04-23,FR13,549
2020-04-23,GB02,110
2020-04-23,IT01,169
2020-04-23,PL01,269
2020-04-23,RO01,26
2020-04-24,FR13,447
2020-04-24,GB02,0
2020-04-24,IT01,224
2020-04-24,PL01,42
2020-04-24,RO01,189
2020-04-25,FR13,81
2020-04-25,GB02,0
2020-04-25,IT01,0
2020-04-25,PL01,2
2020-04-25,RO01,0
2020-04-26,FR13,458
2020-04-26,GB02,0
2020-04-26,IT01,0
2020-04-26,PL01,0
2020-04-26,RO01,0
2020-04-27,FR13,926
2020-04-27,GB02,233
2020-04-27,IT01,328
2020-04-27,PL01,48
2020-04-27,RO01,54
2020-04-28,FR13,953
2020-04-28,GB02,597
2020-04-28,IT01,423
2020-04-28,PL01,27
2020-04-28,RO01,40
2020-04-29,FR13,250
2020-04-29,GB02,1208
2020-04-29,IT01,688
2020-04-29,PL01,68
2020-04-29,RO01,3536
2020-04-30,FR13,16260
2020-04-30,GB02,8876
2020-04-30,IT01,429
2020-04-30,PL01,139
2020-04-30,RO01,69
2020-05-01,FR13,23703
2020-05-01,GB02,864
2020-05-01,IT01,122
2020-05-01,PL01,0
2020-05-01,RO01,0
2020-05-02,FR13,0
2020-05-02,GB02,0
2020-05-02,IT01,983
2020-05-02,PL01,12
2020-05-02,RO01,183
2020-05-03,FR13,36
2020-05-03,GB02,66
2020-05-03,IT01,86
2020-05-03,PL01,0
2020-05-03,RO01,0
2020-05-04,FR13,3462
2020-05-04,GB02,12594
2020-05-04,IT01,228
2020-05-04,PL01,1427
2020-05-04,RO01,101
2020-05-05,FR13,1543
2020-05-05,GB02,950
2020-05-05,IT01,206
2020-05-05,PL01,40338
2020-05-05,RO01,97
2020-05-06,FR13,763
2020-05-06,GB02,886
2020-05-06,IT01,1152
2020-05-06,PL01,3237
2020-05-06,RO01,1515
2020-05-07,FR13,688
2020-05-07,GB02,2127
2020-05-07,IT01,789
2020-05-07,PL01,4945
2020-05-07,RO01,136
2020-05-08,FR13,264
2020-05-08,GB02,0
2020-05-08,IT01,336
2020-05-08,PL01,4697
2020-05-08,RO01,114
2020-05-09,FR13,6
2020-05-09,GB02,0
2020-05-09,IT01,0
2020-05-09,PL01,0
2020-05-09,RO01,0
2020-05-10,FR13,0
2020-05-10,GB02,0
2020-05-10,IT01,0
2020-05-10,PL01,2
2020-05-10,RO01,0
2020-05-11,FR13,741
2020-05-11,GB02,12
2020-05-11,IT01,517
2020-05-11,PL01,2259
2020-05-11,RO01,13169
2020-05-12,FR13,212
2020-05-12,GB02,1316
2020-05-12,IT01,120
2020-05-12,PL01,181
2020-05-12,RO01,166
2020-05-13,FR13,182
2020-05-13,GB02,0
2020-05-13,IT01,153
2020-05-13,PL01,53
2020-05-13,RO01,174
2020-05-14,FR13,111
2020-05-14,GB02,9
2020-05-14,IT01,233
2020-05-14,PL01,129
2020-05-14,RO01,37
2020-05-15,FR13,89
2020-05-15,GB02,0
2020-05-15,IT01,175
2020-05-15,PL01,45
2020-05-15,RO01,194
2020-05-16,FR13,6
2020-05-16,GB02,0
2020-05-16,IT01,0
2020-05-16,PL01,0
2020-05-16,RO01,0
2020-05-17,FR13,0
2020-05-17,GB02,0
2020-05-17,IT01,0
2020-05-17,PL01,0
2020-05-17,RO01,0
2020-05-18,FR13,1252
2020-05-18,GB02,0
2020-05-18,IT01,72
2020-05-18,PL01,439
2020-05-18,RO01,58
2020-05-19,FR13,396
2020-05-19,GB02,1780
2020-05-19,IT01,97
2020-05-19,PL01,68
2020-05-19,RO01,0
2020-05-20,FR13,785
2020-05-20,GB02,512
2020-05-20,IT01,276
2020-05-20,PL01,40
2020-05-20,RO01,4
2020-05-21,FR13,130
2020-05-21,GB02,631
2020-05-21,IT01,375
2020-05-21,PL01,148
2020-05-21,RO01,486
2020-05-22,FR13,163
2020-05-22,GB02,214
2020-05-22,IT01,185
2020-05-22,PL01,1269
2020-05-22,RO01,67
2020-05-23,FR13,0
2020-05-23,GB02,8
2020-05-23,IT01,0
2020-05-23,PL01,2
2020-05-23,RO01,0
2020-05-24,FR13,268
2020-05-24,GB02,176
2020-05-24,IT01,0
2020-05-24,PL01,0
2020-05-24,RO01,0
2020-05-25,FR13,533
2020-05-25,GB02,0
2020-05-25,IT01,302
2020-05-25,PL01,214
2020-05-25,RO01,160
2020-05-26,FR13,4668
2020-05-26,GB02,401
2020-05-26,IT01,283
2020-05-26,PL01,42
2020-05-26,RO01,94
2020-05-27,FR13,599
2020-05-27,GB02,234
2020-05-27,IT01,406
2020-05-27,PL01,136
2020-05-27,RO01,41
2020-05-28,FR13,624
2020-05-28,GB02,202
2020-05-28,IT01,214
2020-05-28,PL01,134
2020-05-28,RO01,28
2020-05-29,FR13,23967
2020-05-29,GB02,224
2020-05-29,IT01,248
2020-05-29,PL01,7
2020-05-29,RO01,114
2020-05-30,FR13,3
2020-05-30,GB02,0
2020-05-30,IT01,0
2020-05-30,PL01,0
2020-05-30,RO01,0
2020-05-31,FR13,0
2020-05-31,GB02,0
2020-05-31,IT01,0
2020-05-31,PL01,0
2020-05-31,RO01,0
2020-06-01,FR13,90
2020-06-01,GB02,6958
2020-06-01,IT01,1040
2020-06-01,PL01,43510
2020-06-01,RO01,0
2020-06-02,FR13,23835
2020-06-02,GB02,12408
2020-06-02,IT01,183
2020-06-02,PL01,777
2020-06-02,RO01,103
2020-06-03,FR13,3927
2020-06-03,GB02,1100
2020-06-03,IT01,588
2020-06-03,PL01,2746
2020-06-03,RO01,139
2020-06-04,FR13,397
2020-06-04,GB02,1410
2020-06-04,IT01,1532
2020-06-04,PL01,3983
2020-06-04,RO01,2600
2020-06-05,FR13,532
2020-06-05,GB02,2556
2020-06-05,IT01,531
2020-06-05,PL01,4416
2020-06-05,RO01,2124
2020-06-06,FR13,0
2020-06-06,GB02,0
2020-06-06,IT01,0
2020-06-06,PL01,14
2020-06-06,RO01,0
2020-06-07,FR13,0
2020-06-07,GB02,0
2020-06-07,IT01,34
2020-06-07,PL01,0
2020-06-07,RO01,0
2020-06-08,FR13,330
2020-06-08,GB02,354
2020-06-08,IT01,24
2020-06-08,PL01,1938
2020-06-08,RO01,126
2020-06-09,FR13,360
2020-06-09,GB02,159
2020-06-09,IT01,87
2020-06-09,PL01,605
2020-06-09,RO01,34
2020-06-10,FR13,233
2020-06-10,GB02,202
2020-06-10,IT01,71
2020-06-10,PL01,100
2020-06-10,RO01,191
2020-06-11,FR13,326
2020-06-11,GB02,214
2020-06-11,IT01,169
2020-06-11,PL01,2
2020-06-11,RO01,470
2020-06-12,FR13,540
2020-06-12,GB02,4
2020-06-12,IT01,219
2020-06-12,PL01,17
2020-06-12,RO01,13106
2020-06-13,FR13,0
2020-06-13,GB02,0
2020-06-13,IT01,0
2020-06-13,PL01,0
2020-06-13,RO01,0
2020-06-14,FR13,0
2020-06-14,GB02,0
2020-06-14,IT01,0
2020-06-14,PL01,0
2020-06-14,RO01,0
2020-06-15,FR13,340
2020-06-15,GB02,21
2020-06-15,IT01,568
2020-06-15,PL01,247
2020-06-15,RO01,135
2020-06-16,FR13,513
2020-06-16,GB02,902
2020-06-16,IT01,326
2020-06-16,PL01,407
2020-06-16,RO01,81
